channel_name,category,Sub-category,Agent Shift,Tenure Bucket
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Wrong,Morning,On Job Training
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Returns,Missing,Morning,>90
Inbound,Order Related,Delayed,Morning,0-30
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Product Queries,Product Specific Information,Morning,31-60
Inbound,Returns,Return request,Evening,0-30
Inbound,Returns,Return request,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Email,Returns,Missing,Evening,31-60
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Returns,Missing,Evening,On Job Training
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Refund Related,Refund Enquiry,Split,>90
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Returns,Return request,Evening,0-30
Inbound,Product Queries,Product Specific Information,Morning,>90
Inbound,Returns,Fraudulent User,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Outcall,Returns,Return request,Split,>90
Inbound,Order Related,Installation/demo,Afternoon,31-60
Inbound,Returns,Wrong,Morning,0-30
Inbound,Order Related,Installation/demo,Evening,31-60
Inbound,Order Related,Priority delivery,Evening,On Job Training
Inbound,Returns,Fraudulent User,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Missing,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Returns,Fraudulent User,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Wrong,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Order Related,Priority delivery,Morning,>90
Outcall,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Order Related,Delayed,Morning,61-90
Outcall,Product Queries,Product Specific Information,Evening,On Job Training
Outcall,Payments related,Online Payment Issues,Evening,On Job Training
Outcall,Order Related,Seller Cancelled Order,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Missing,Evening,>90
Inbound,Feedback,UnProfessional Behaviour,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Refund Related,Refund Enquiry,Evening,>90
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Returns,Fraudulent User,Afternoon,>90
Inbound,Returns,Fraudulent User,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,31-60
Inbound,Shopzilla Related,Account updation,Evening,>90
Inbound,Order Related,Delayed,Evening,0-30
Inbound,Order Related,Delayed,Evening,On Job Training
Outcall,Returns,Return request,Evening,61-90
Inbound,Cancellation,Not Needed,Morning,0-30
Inbound,Returns,Return request,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Payments related,Payment related Queries,Evening,61-90
Inbound,Refund Related,Refund Enquiry,Split,>90
Inbound,Order Related,Customer Requested Modifications,Afternoon,>90
Inbound,Returns,Wrong,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Email,Order Related,Delayed,Evening,>90
Inbound,Returns,Return request,Evening,61-90
Inbound,Order Related,Unable to track,Morning,>90
Inbound,Returns,Return request,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Installation/demo,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Order Related,Delayed,Morning,>90
Outcall,Returns,Missing,Morning,>90
Inbound,Order Related,Order status enquiry,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Order Related,Order status enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Product Queries,Product Specific Information,Morning,On Job Training
Inbound,Returns,Return request,Evening,61-90
Inbound,Returns,Wrong,Morning,>90
Outcall,Product Queries,Product Specific Information,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Returns,Missing,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Order Related,Installation/demo,Evening,0-30
Inbound,Returns,Service Centres Related,Evening,On Job Training
Inbound,Refund Related,Refund Enquiry,Evening,61-90
Inbound,Order Related,Delayed,Evening,61-90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Installation/demo,Evening,61-90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Outcall,Returns,Service Centres Related,Evening,On Job Training
Email,Returns,Return request,Evening,On Job Training
Inbound,Order Related,Invoice request,Evening,>90
Inbound,Returns,Return request,Morning,>90
Inbound,Order Related,Invoice request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Return request,Evening,61-90
Inbound,Order Related,Delayed,Evening,On Job Training
Email,Cancellation,Not Needed,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Shopzilla Related,Shopzila Premium Related,Morning,>90
Outcall,Returns,Missing,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Return request,Morning,On Job Training
Email,Returns,Wrong,Morning,0-30
Inbound,Refund Related,Refund Related Issues,Evening,On Job Training
Outcall,Shopzilla Related,Signup Issues,Morning,>90
Inbound,Order Related,Order status enquiry,Morning,0-30
Inbound,Order Related,Delayed,Split,61-90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Product Queries,Product Specific Information,Evening,>90
Inbound,Returns,Return request,Night,>90
